Quarter,Gross_Profit
1,22.52
2,23.81
3,27.35
4,29.17
5,32.31
6,36.3
7,41.86
8,47.34
9,50.51
10,53.3
11,60.53
12,61.1
13,61.37
14,61.37
15,61.59
16,61.6
17,61.9
18,61.9
19,62.13
20,62.49
21,62.5
22,62.58
23,62.59
24,63.4
25,63.57
26,63.7
27,63.75
28,64.42
29,64.52
30,64.87
31,65.02
32,65.01
33,65.03
34,65.92
35,67.21
36,67.22
37,68.59
38,69.99
39,70.04
40,70.07
41,70.18
42,70.52
43,70.52
44,70.88
45,71.31
46,71.31
47,71.6
48,71.88
49,71.89
50,71.89
51,71.92
52,72.17
53,72.53
54,73.54
55,73.59
56,74.33
57,74.33
58,74.36
59,74.43
60,76.45
61,76.5
62,78.69
63,80.5
64,80.68
65,80.86
66,81.32
67,81.38
68,81.58
69,81.59
70,81.6
71,81.71
72,82.06
73,82.73
